Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
37852,20100621:2359,5.5,24,D
37852,20100622:2359,4.8,24,D
37852,20100623:2359,4.6,24,D
37852,20100624:2359,5.1,24,D
37852,20100625:2359,1.0,24,D
37852,20100626:2359,2.7,24,D
37852,20100627:2359,5.9,24,D
37852,20100628:2359,0.3,24,D
37852,20100629:2359,6.4,24,D
37852,20100630:2359,5.5,24,D
37852,20100701:2359,6.2,24,D
37852,20100702:2359,4.8,24,D
37852,20100703:2359,5.3,24,D
37852,20100704:2359,0.1,24,D
37852,20100705:2359,0.0,24,D
37852,20100706:2359,4.2,24,D
37852,20100707:2359,3.8,24,D
37852,20100708:2359,4.4,24,D
37852,20100709:2359,8.1,24,D
37852,20100710:2359,8.1,24,D
37852,20100711:2359,7.5,24,D
37852,20100712:2359,8.1,24,D
37852,20100713:2359,8.2,24,D
37852,20100714:2359,8.3,24,D
37852,20100715:2359,6.8,24,D
37852,20100716:2359,0.4,24,D
37852,20100717:2359,5.2,24,D
37852,20100718:2359,8.3,24,D
37852,20100719:2359,2.0,24,D
37852,20100720:2359,5.8,24,D
37852,20100721:2359,0.0,24,D
37852,20100722:2359,3.4,24,D
37852,20100723:2359,1.4,24,D
37852,20100724:2359,8.2,24,D
37852,20100725:2359,6.9,24,D
37852,20100726:2359,5.0,24,D
37852,20100727:2359,5.9,24,D
37852,20100728:2359,6.3,24,D
37852,20100729:2359,6.2,24,D
37852,20100730:2359,7.9,24,D
37852,20100731:2359,5.7,24,D
37852,20100801:2359,0.0,24,D
37852,20100802:2359,3.6,24,D
37852,20100803:2359,0.0,24,D
37852,20100804:2359,0.0,24,D
37852,20100805:2359,4.0,24,D
37852,20100806:2359,5.6,24,D
37852,20100807:2359,0.0,24,D
37852,20100808:2359,5.5,24,D
37852,20100809:2359,6.9,24,D
37852,20100810:2359,8.6,24,D
37852,20100811:2359,4.1,24,D
37852,20100812:2359,6.0,24,D
37852,20100813:2359,0.0,24,D
37852,20100814:2359,0.0,24,D
37852,20100815:2359,1.0,24,D
37852,20100816:2359,2.1,24,D
37852,20100817:2359,4.0,24,D
37852,20100818:2359,3.9,24,D
37852,20100819:2359,7.1,24,D
37852,20100820:2359,0.1,24,D
37852,20100821:2359,4.9,24,D
37852,20100822:2359,7.5,24,D
37852,20100823:2359,6.0,24,D
37852,20100824:2359,8.3,24,D
37852,20100825:2359,2.0,24,D
37852,20100826:2359,3.9,24,D
37852,20100827:2359,0.3,24,D
37852,20100828:2359,5.9,24,D
37852,20100829:2359,5.7,24,D
37852,20100830:2359,5.9,24,D
37852,20100831:2359,5.0,24,D
37852,20100901:2359,9.8,24,D
37852,20100902:2359,0.1,24,D
37852,20100903:2359,5.4,24,D
37852,20100904:2359,7.9,24,D
37852,20100905:2359,3.5,24,D
37852,20100906:2359,0.2,24,D
37852,20100907:2359,0.0,24,D
37852,20100908:2359,6.3,24,D
37852,20100909:2359,0.6,24,D
37852,20100910:2359,7.8,24,D
37852,20100911:2359,0.0,24,D
37852,20100912:2359,4.2,24,D
37852,20100913:2359,5.8,24,D
37852,20100914:2359,8.0,24,D
37852,20100915:2359,8.2,24,D
37852,20100916:2359,3.2,24,D
37852,20100917:2359,5.1,24,D
37852,20100918:2359,8.6,24,D
37852,20100919:2359,7.2,24,D
37852,20100920:2359,7.0,24,D
37852,20100921:2359,6.4,24,D
37852,20100922:2359,6.4,24,D
37852,20100923:2359,8.7,24,D
37852,20100924:2359,8.7,24,D
37852,20100925:2359,5.0,24,D
37852,20100926:2259,7.4,24,D
37852,20100927:2259,9.5,24,D
37852,20100928:2259,6.8,24,D
37852,20100929:2259,9.3,24,D
37852,20100930:2259,0.0,24,D
37852,20101001:2259,4.1,24,D
37852,20101002:2259,7.1,24,D
37852,20101003:2259,10.6,24,D
37852,20101004:2259,9.8,24,D
37852,20101005:2259,10.6,24,D
37852,20101006:2259,4.6,24,D
37852,20101007:2259,3.8,24,D
37852,20101008:2259,4.4,24,D
37852,20101009:2259,8.6,24,D
37852,20101010:2259,6.5,24,D
37852,20101011:2259,6.0,24,D
37852,20101012:2259,9.9,24,D
37852,20101013:2259,0.8,24,D
37852,20101014:2259,9.3,24,D
37852,20101015:2259,5.0,24,D
37852,20101016:2259,7.5,24,D
37852,20101017:2259,2.9,24,D
37852,20101018:2259,8.1,24,D
37852,20101019:2259,8.7,24,D
37852,20101020:2259,7.3,24,D
37852,20101021:2259,5.5,24,D
37852,20101022:2259,10.3,24,D
37852,20101023:2259,11.4,24,D
37852,20101024:2259,11.5,24,D
37852,20101025:2259,9.2,24,D
37852,20101026:2259,11.3,24,D
37852,20101027:2259,10.0,24,D
37852,20101028:2259,8.8,24,D
37852,20101029:2259,11.2,24,D
37852,20101030:2259,6.6,24,D
37852,20101031:2259,9.7,24,D
37852,20101101:2259,10.7,24,D
37852,20101102:2259,11.6,24,D
37852,20101103:2259,10.6,24,D
37852,20101104:2259,6.8,24,D
37852,20101105:2259,5.5,24,D
37852,20101106:2259,10.5,24,D
37852,20101107:2259,5.8,24,D
37852,20101108:2259,10.9,24,D
37852,20101109:2259,7.4,24,D
37852,20101110:2259,9.7,24,D
37852,20101111:2259,3.6,24,D
37852,20101112:2259,6.4,24,D
37852,20101113:2259,10.6,24,D
37852,20101114:2259,10.9,24,D
37852,20101115:2259,6.7,24,D
37852,20101116:2259,9.0,24,D
37852,20101117:2259,12.5,24,D
37852,20101118:2259,4.6,24,D
37852,20101119:2259,2.2,24,D
37852,20101120:2259,1.0,24,D
37852,20101121:2259,6.5,24,D
37852,20101122:2259,11.8,24,D
37852,20101123:2259,1.7,24,D
37852,20101124:2259,10.5,24,D
37852,20101125:2259,10.3,24,D
37852,20101126:2259,10.5,24,D
