Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
4843,20100614:2359,3.4,24,D
4843,20100615:2359,3.6,24,D
4843,20100616:2359,8.5,24,D
4843,20100617:2359,6.2,24,D
4843,20100618:2359,1.0,24,D
4843,20100619:2359,1.7,24,D
4843,20100620:2359,0.0,24,D
4843,20100621:2359,4.6,24,D
4843,20100622:2359,6.9,24,D
4843,20100623:2359,0.0,24,D
4843,20100624:2359,0.2,24,D
4843,20100625:2359,0.2,24,D
4843,20100626:2359,0.0,24,D
4843,20100627:2359,0.0,24,D
4843,20100628:2359,4.2,24,D
4843,20100629:2359,0.1,24,D
4843,20100630:2359,2.9,24,D
4843,20100701:2359,7.4,24,D
4843,20100702:2359,8.3,24,D
4843,20100703:2359,8.2,24,D
4843,20100704:2359,8.4,24,D
4843,20100705:2359,5.3,24,D
4843,20100706:2359,0.3,24,D
4843,20100707:2359,3.2,24,D
4843,20100708:2359,0.1,24,D
4843,20100709:2359,2.5,24,D
4843,20100710:2359,8.2,24,D
4843,20100711:2359,7.1,24,D
4843,20100712:2359,7.9,24,D
4843,20100713:2359,3.8,24,D
4843,20100714:2359,7.9,24,D
4843,20100715:2359,6.5,24,D
4843,20100716:2359,0.0,24,D
4843,20100717:2359,0.0,24,D
4843,20100718:2359,2.3,24,D
4843,20100719:2359,4.1,24,D
4843,20100720:2359,1.1,24,D
4843,20100721:2359,1.5,24,D
4843,20100722:2359,0.0,24,D
4843,20100723:2359,0.0,24,D
4843,20100724:2359,1.0,24,D
4843,20100725:2359,1.5,24,D
4843,20100726:2359,6.7,24,D
4843,20100727:2359,3.1,24,D
4843,20100728:2359,8.0,24,D
4843,20100729:2359,4.6,24,D
4843,20100730:2359,8.5,24,D
4843,20100731:2359,0.4,24,D
4843,20100801:2359,2.2,24,D
4843,20100802:2359,0.0,24,D
4843,20100803:2359,0.0,24,D
4843,20100804:2359,0.0,24,D
4843,20100805:2359,5.9,24,D
4843,20100806:2359,1.7,24,D
4843,20100807:2359,0.1,24,D
4843,20100808:2359,0.0,24,D
4843,20100809:2359,1.9,24,D
4843,20100810:2359,9.4,24,D
4843,20100811:2359,9.3,24,D
4843,20100812:2359,0.0,24,D
4843,20100813:2359,0.1,24,D
4843,20100814:2359,2.2,24,D
4843,20100815:2359,0.0,24,D
4843,20100816:2359,0.3,24,D
4843,20100817:2359,3.3,24,D
4843,20100818:2359,0.0,24,D
4843,20100819:2359,0.2,24,D
4843,20100820:2359,0.0,24,D
4843,20100821:2359,0.0,24,D
4843,20100822:2359,6.9,24,D
4843,20100823:2359,1.5,24,D
4843,20100824:2359,8.1,24,D
4843,20100825:2359,7.1,24,D
4843,20100826:2359,6.9,24,D
4843,20100827:2359,5.8,24,D
4843,20100828:2359,2.8,24,D
4843,20100829:2359,0.5,24,D
4843,20100830:2359,2.5,24,D
4843,20100831:2359,8.0,24,D
4843,20100901:2359,9.9,24,D
4843,20100902:2359,2.8,24,D
4843,20100903:2359,1.9,24,D
4843,20100904:2359,10.5,24,D
4843,20100905:2359,0.9,24,D
4843,20100906:2359,8.6,24,D
4843,20100907:2359,1.8,24,D
4843,20100908:2359,0.5,24,D
4843,20100909:2359,1.8,24,D
4843,20100910:2359,6.3,24,D
4843,20100911:2359,2.9,24,D
4843,20100912:2359,3.2,24,D
4843,20100913:2359,4.6,24,D
4843,20100914:2359,5.0,24,D
4843,20100915:2359,9.4,24,D
4843,20100916:2359,1.5,24,D
4843,20100917:2359,4.9,24,D
4843,20100918:2359,8.5,24,D
4843,20100919:2359,9.6,24,D
4843,20100920:2359,6.0,24,D
4843,20100921:2359,4.9,24,D
4843,20100922:2359,9.2,24,D
4843,20100923:2359,10.8,24,D
4843,20100924:2359,6.3,24,D
4843,20100925:2359,9.2,24,D
4843,20100926:2259,11.3,24,D
4843,20100927:2259,10.3,24,D
4843,20100928:2259,4.5,24,D
4843,20100929:2259,3.8,24,D
4843,20100930:2259,5.0,24,D
4843,20101001:2259,11.3,24,D
4843,20101002:2259,10.5,24,D
4843,20101003:2259,11.5,24,D
4843,20101004:2259,8.6,24,D
4843,20101005:2259,11.5,24,D
4843,20101006:2259,10.4,24,D
4843,20101007:2259,2.9,24,D
4843,20101008:2259,4.1,24,D
4843,20101009:2259,3.2,24,D
4843,20101010:2259,0.8,24,D
4843,20101011:2259,4.2,24,D
4843,20101012:2259,11.4,24,D
4843,20101013:2259,11.6,24,D
4843,20101014:2259,8.2,24,D
4843,20101015:2259,5.4,24,D
4843,20101016:2259,4.7,24,D
4843,20101017:2259,9.7,24,D
