Grid demand trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20200429171210

Parameters
Date range,01 Jan 2010 - 28 Apr 2020
Region type,Zone
Time scale,Day
Show,Final pricing demand

Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
19/01/2010,19/01/2010,N/A,USI,Upper South Island,16.470
19/01/2010,19/01/2010,N/A,LSI,Lower South Island,23.445
20/01/2010,20/01/2010,N/A,UNI,Upper North Island,30.358
20/01/2010,20/01/2010,N/A,CNI,Central North Island,23.789
20/01/2010,20/01/2010,N/A,LNI,Lower North Island,15.482
20/01/2010,20/01/2010,N/A,USI,Upper South Island,16.653
20/01/2010,20/01/2010,N/A,LSI,Lower South Island,23.955
21/01/2010,21/01/2010,N/A,UNI,Upper North Island,30.416
21/01/2010,21/01/2010,N/A,CNI,Central North Island,23.905
21/01/2010,21/01/2010,N/A,LNI,Lower North Island,15.618
21/01/2010,21/01/2010,N/A,USI,Upper South Island,16.648
21/01/2010,21/01/2010,N/A,LSI,Lower South Island,23.792
22/01/2010,22/01/2010,N/A,UNI,Upper North Island,29.169
22/01/2010,22/01/2010,N/A,CNI,Central North Island,22.947
22/01/2010,22/01/2010,N/A,LNI,Lower North Island,15.226
22/01/2010,22/01/2010,N/A,USI,Upper South Island,16.072
22/01/2010,22/01/2010,N/A,LSI,Lower South Island,23.739
23/01/2010,23/01/2010,N/A,UNI,Upper North Island,25.433
23/01/2010,23/01/2010,N/A,CNI,Central North Island,20.912
23/01/2010,23/01/2010,N/A,LNI,Lower North Island,15.380
23/01/2010,23/01/2010,N/A,USI,Upper South Island,13.397
23/01/2010,23/01/2010,N/A,LSI,Lower South Island,22.792
24/01/2010,24/01/2010,N/A,UNI,Upper North Island,24.658
24/01/2010,24/01/2010,N/A,CNI,Central North Island,20.502
24/01/2010,24/01/2010,N/A,LNI,Lower North Island,14.173
24/01/2010,24/01/2010,N/A,USI,Upper South Island,12.456
24/01/2010,24/01/2010,N/A,LSI,Lower South Island,22.402
25/01/2010,25/01/2010,N/A,UNI,Upper North Island,29.351
25/01/2010,25/01/2010,N/A,CNI,Central North Island,22.978
25/01/2010,25/01/2010,N/A,LNI,Lower North Island,14.304
25/01/2010,25/01/2010,N/A,USI,Upper South Island,14.217
25/01/2010,25/01/2010,N/A,LSI,Lower South Island,23.460
26/01/2010,26/01/2010,N/A,UNI,Upper North Island,30.213
26/01/2010,26/01/2010,N/A,CNI,Central North Island,22.366
26/01/2010,26/01/2010,N/A,LNI,Lower North Island,14.320
26/01/2010,26/01/2010,N/A,USI,Upper South Island,14.649
26/01/2010,26/01/2010,N/A,LSI,Lower South Island,23.597
27/01/2010,27/01/2010,N/A,UNI,Upper North Island,30.136
27/01/2010,27/01/2010,N/A,CNI,Central North Island,22.471
27/01/2010,27/01/2010,N/A,LNI,Lower North Island,14.943
27/01/2010,27/01/2010,N/A,USI,Upper South Island,14.789
27/01/2010,27/01/2010,N/A,LSI,Lower South Island,23.517
28/01/2010,28/01/2010,N/A,UNI,Upper North Island,30.756
28/01/2010,28/01/2010,N/A,CNI,Central North Island,21.795
28/01/2010,28/01/2010,N/A,LNI,Lower North Island,14.969
28/01/2010,28/01/2010,N/A,USI,Upper South Island,15.106
28/01/2010,28/01/2010,N/A,LSI,Lower South Island,23.685
29/01/2010,29/01/2010,N/A,UNI,Upper North Island,29.909
29/01/2010,29/01/2010,N/A,CNI,Central North Island,22.118
29/01/2010,29/01/2010,N/A,LNI,Lower North Island,15.464
29/01/2010,29/01/2010,N/A,USI,Upper South Island,15.239
29/01/2010,29/01/2010,N/A,LSI,Lower South Island,23.928
30/01/2010,30/01/2010,N/A,UNI,Upper North Island,25.586
30/01/2010,30/01/2010,N/A,CNI,Central North Island,20.797
30/01/2010,30/01/2010,N/A,LNI,Lower North Island,13.530
30/01/2010,30/01/2010,N/A,USI,Upper South Island,14.053
30/01/2010,30/01/2010,N/A,LSI,Lower South Island,22.994
31/01/2010,31/01/2010,N/A,UNI,Upper North Island,24.266
31/01/2010,31/01/2010,N/A,CNI,Central North Island,21.063
31/01/2010,31/01/2010,N/A,LNI,Lower North Island,16.186
31/01/2010,31/01/2010,N/A,USI,Upper South Island,13.883
31/01/2010,31/01/2010,N/A,LSI,Lower South Island,22.666
01/02/2010,01/02/2010,N/A,UNI,Upper North Island,25.677
01/02/2010,01/02/2010,N/A,CNI,Central North Island,21.481
01/02/2010,01/02/2010,N/A,LNI,Lower North Island,19.084
01/02/2010,01/02/2010,N/A,USI,Upper South Island,16.262
01/02/2010,01/02/2010,N/A,LSI,Lower South Island,23.645
02/02/2010,02/02/2010,N/A,UNI,Upper North Island,30.167
02/02/2010,02/02/2010,N/A,CNI,Central North Island,23.500
02/02/2010,02/02/2010,N/A,LNI,Lower North Island,16.550
02/02/2010,02/02/2010,N/A,USI,Upper South Island,17.140
02/02/2010,02/02/2010,N/A,LSI,Lower South Island,24.104
03/02/2010,03/02/2010,N/A,UNI,Upper North Island,30.502
03/02/2010,03/02/2010,N/A,CNI,Central North Island,23.826
03/02/2010,03/02/2010,N/A,LNI,Lower North Island,16.564
03/02/2010,03/02/2010,N/A,USI,Upper South Island,17.273
03/02/2010,03/02/2010,N/A,LSI,Lower South Island,24.293
04/02/2010,04/02/2010,N/A,UNI,Upper North Island,30.509
04/02/2010,04/02/2010,N/A,CNI,Central North Island,23.696
04/02/2010,04/02/2010,N/A,LNI,Lower North Island,15.497
04/02/2010,04/02/2010,N/A,USI,Upper South Island,17.211
04/02/2010,04/02/2010,N/A,LSI,Lower South Island,24.277
05/02/2010,05/02/2010,N/A,UNI,Upper North Island,29.262
05/02/2010,05/02/2010,N/A,CNI,Central North Island,22.719
05/02/2010,05/02/2010,N/A,LNI,Lower North Island,14.567
05/02/2010,05/02/2010,N/A,USI,Upper South Island,16.872
05/02/2010,05/02/2010,N/A,LSI,Lower South Island,24.054
06/02/2010,06/02/2010,N/A,UNI,Upper North Island,24.060
06/02/2010,06/02/2010,N/A,CNI,Central North Island,20.078
06/02/2010,06/02/2010,N/A,LNI,Lower North Island,12.662
